,bladder,breast_cancer,cervical,head n neck,KIRC,KIRP,LUAD,LUSC,PRAD,STAD,THCA,UCEC
bladder,1.000000000000027,0.21273183223333317,0.5890674887318801,0.14996730120332646,0.16216374421616747,0.32607857254369055,0.665509464100378,0.2557578418504401,0.9960319632776857,0.9636585678856875,0.6720357938868018,0.8691318647540657
breast_cancer,0.21273183223333317,1.0000000000000044,0.8635125334195801,0.9316815513721448,0.8729396695785137,0.3666443396920061,0.8476750251626706,0.9478294312882717,0.28482962430373593,0.31755896461982747,0.8267250127028223,0.33321914799324487
cervical,0.5890674887318801,0.8635125334195801,0.9999999999999996,0.8855284491755231,0.735476611377908,0.29402381152427043,0.9756624992905456,0.8965860370749376,0.645492798144968,0.6340844064473461,0.9104940644124359,0.6310454595335508
head n neck,0.14996730120332646,0.9316815513721448,0.8855284491755231,1.0000000000000084,0.8085405172360599,0.1810309028922125,0.8099412954270336,0.9546873154334171,0.22079877958053365,0.22327875670981345,0.7275257276988102,0.27977177515326174
KIRC,0.16216374421616747,0.8729396695785137,0.735476611377908,0.8085405172360599,0.9999999999999966,0.6932560363176672,0.7099590250935325,0.7956639769895643,0.22575487058605184,0.27468160529138136,0.7557536962153008,0.46126157036719073
KIRP,0.32607857254369055,0.3666443396920061,0.29402381152427043,0.1810309028922125,0.6932560363176672,1.0000000000000029,0.343165119876438,0.24507438871691675,0.3438065056839077,0.40489049767025426,0.5185879526078538,0.6261915710098349
LUAD,0.665509464100378,0.8476750251626706,0.9756624992905456,0.8099412954270336,0.7099590250935325,0.343165119876438,0.999999999999981,0.856911937814513,0.7194778736751157,0.7169843214413834,0.9550956890750406,0.6765894380196126
LUSC,0.2557578418504401,0.9478294312882717,0.8965860370749376,0.9546873154334171,0.7956639769895643,0.24507438871691675,0.856911937814513,0.9999999999999808,0.3262408662879803,0.344389893426045,0.7911473683542914,0.35094234667839375
PRAD,0.9960319632776857,0.28482962430373593,0.645492798144968,0.22079877958053365,0.22575487058605184,0.3438065056839077,0.7194778736751157,0.3262408662879803,1.000000000000009,0.9763778692028398,0.7233485734218424,0.8804585955462203
STAD,0.9636585678856875,0.31755896461982747,0.6340844064473461,0.22327875670981345,0.27468160529138136,0.40489049767025426,0.7169843214413834,0.344389893426045,0.9763778692028398,0.9999999999999858,0.7381611637794904,0.8745001949651375
THCA,0.6720357938868018,0.8267250127028223,0.9104940644124359,0.7275257276988102,0.7557536962153008,0.5185879526078538,0.9550956890750406,0.7911473683542914,0.7233485734218424,0.7381611637794904,1.0000000000000162,0.7076179338846301
UCEC,0.8691318647540657,0.33321914799324487,0.6310454595335508,0.27977177515326174,0.46126157036719073,0.6261915710098349,0.6765894380196126,0.35094234667839375,0.8804585955462203,0.8745001949651375,0.7076179338846301,1.0000000000000075
